,0,1,2,3,4,5,,Ps,Ps(1-mu)/(1-muPs),,(SPsMu-SI)/SI,SPs(1-Mu)-SA)/SA,,SA|SI -SA)/SA
72,579180.0441,63877.0785,27375.89078,4262.4638,1826.7702,4464.580553,,,,,,,,
73,573090.8101,63674.96174,27289.26932,4202.905924,1801.245396,4448.890657,,,,,,,,
74,567086.6588,63428.97701,27183.84729,4141.46389,1774.913096,4430.169431,,,,,,,,
75,561170.2818,63140.27147,27060.11635,4078.315402,1747.849458,4408.500727,,,,,,,,
76,555344.117,62810.08615,26918.60835,4013.636072,1720.129745,4383.974463,,,,,,,,
77,549610.3511,62439.74776,26759.8919,3947.598622,1691.827981,4356.686134,,,,,,,,
78,543970.9245,62030.66024,26584.56868,3880.371667,1663.016429,4326.736482,,,,,,,,
79,538427.5364,61584.29543,26393.26947,3812.119413,1633.765463,4294.230736,,,,,,,,
80,532981.6516,61102.18411,26186.65033,3743.001658,1604.143568,4259.277819,,,,,,,,
81,527634.5063,60585.90794,25965.38912,3673.172594,1574.216826,4221.989946,,,,,,,,
82,522387.1169,60037.09059,25730.18168,3602.780085,1544.048608,4182.482001,,,,,,,,
83,517240.2882,59457.38868,25481.738,3531.966685,1513.700008,4140.870904,,,,,,,,
84,512194.6215,58848.48446,25220.77905,3460.868456,1483.229338,4097.275096,,,,,,,,
85,507250.5237,58212.07782,24948.03335,3389.614243,1452.691818,4051.813863,,,,,,,,
86,502408.2177,57549.8782,24664.23351,3318.326754,1422.140038,4004.60705,,,,,,,,
87,497667.7509,56863.5979,24370.11339,3247.121979,1391.623705,3955.774496,,,,,,,,
88,493029.0052,56154.94539,24066.40517,3176.108615,1361.189407,3905.435365,,,,,,,,
89,488491.7072,55425.61864,23753.83656,3105.388663,1330.880856,3853.707956,,,,,,,,
90,484055.4377,54677.29934,23433.12829,3035.057596,1300.73897,3800.709369,,,,,,,,
91,479719.6411,53911.64757,23104.99182,2965.203986,1270.801708,3746.554888,,,,,,,,
92,475483.6354,53130.29667,22770.12714,2895.909651,1241.104136,3691.357636,,,,,,,,
93,471346.6216,52334.84868,22429.22086,2827.250281,1211.678692,3635.228668,,,,,,,,
94,467307.6927,51526.8703,22082.94441,2759.295217,1182.555093,3578.276376,,,,,,,,
95,463365.8423,50707.88914,21731.95249,2692.107606,1153.760403,3520.606098,,,,,,,,
96,459519.9743,49879.39065,21376.88171,2625.744795,1125.319198,3462.320246,,,,,,,,
97,455768.9103,49042.8152,21018.34937,2560.258501,1097.253643,3403.517983,,,,,,,,
98,452111.3982,48199.55571,20656.95245,2495.695141,1069.583632,3344.295168,,,,,,,,
99,448546.1194,47350.95569,20293.26672,2432.095895,1042.326812,3284.744114,,,,,,,,
100,445071.6967,46498.30747,19927.84606,2369.497026,1015.498725,3224.953425,,,,,,,,
101,441686.701,45642.85107,19561.22189,2307.930115,989.1129066,3165.007975,,,,,,,,
102,438389.6579,44785.77321,19193.9028,2247.422349,963.1810066,3104.98895,,,,,,,,
103,435179.0546,43928.20661,18826.37426,2187.996846,937.7129339,3044.973774,,,,,,,,
104,432053.3448,43071.22968,18459.09843,2129.672771,912.7169021,2985.036045,,,,,,,,
105,429010.9551,42215.86641,18092.51417,2072.465621,888.1995518,2925.245552,,,,,,,,
106,426050.29,41363.08647,17727.03706,2016.387491,864.1660674,2865.668248,,,,,,,,
107,423169.7364,40513.80572,17363.05959,1961.447272,840.6202596,2806.366376,,,,,,,,
108,420367.6689,39668.88661,17000.95141,1907.650913,817.564677,2747.398466,,,,,,,,
109,417642.4533,38829.13906,16641.0596,1855.001655,795.0007091,2688.819405,,,,,,,,
110,414992.4509,37995.32131,16283.70913,1803.500159,772.9286396,2630.68049,,,,,,,,
111,412416.0221,37168.14098,15929.20328,1753.144796,751.3477698,2573.029518,,,,,,,,
112,409911.5296,36348.25626,15577.82411,1703.9318,730.2564858,2515.910866,,,,,,,,
113,407477.3413,35536.27719,15229.83308,1655.855435,709.6523291,2459.36559,,,,,,,,
114,405111.8335,34732.76704,14885.47159,1608.908221,689.5320949,2403.431527,,,,,,,,
